toussaint,ritter,,,,,
51200,1,143,,350720,17,13457
51456,1,144,,350976,11,13444
51712,1,146,,351232,11,13452
51968,1,153,,351488,14,13461
52224,2,154,,351744,12,13469
52480,1,149,,352000,11,13474
52736,2,171,,352256,16,13499
52992,1,154,,352512,12,13496
53248,1,155,,352768,11,13525
53504,1,158,,353024,12,13532
53760,1,159,,353280,11,13540
54016,2,158,,353536,12,13578
54272,1,161,,353792,12,13608
54528,1,162,,354048,13,13654
54784,1,166,,354304,13,13676
55040,1,166,,354560,15,13771
55296,1,170,,354816,13,13691
55552,1,171,,355072,12,13779
55808,2,170,,355328,12,13768
56064,2,174,,355584,12,13709
56320,1,173,,355840,13,13759
56576,1,174,,356096,13,13782
56832,2,181,,356352,12,13789
57088,1,178,,356608,12,13745
57344,2,190,,356864,12,13720
57600,1,181,,357120,12,13715
57856,1,182,,357376,13,13745
58112,1,183,,357632,13,13783
58368,1,185,,357888,14,13753
58624,2,187,,358144,12,13774
58880,1,189,,358400,13,13734
59136,1,189,,358656,13,13723
59392,1,191,,358912,12,13735
59648,2,193,,359168,12,13748
59904,2,194,,359424,12,13811
60160,2,196,,359680,12,13844
60416,2,198,,359936,12,13779
60672,1,200,,360192,12,13828
60928,2,201,,360448,12,13897
61184,2,203,,360704,12,13875
61440,2,205,,360960,12,13895
61696,1,207,,361216,12,13921
61952,1,218,,361472,13,13920
62208,1,212,,361728,12,13933
62464,2,223,,361984,13,13948
62720,1,219,,362240,12,13957
62976,1,223,,362496,12,13986
63232,2,220,,362752,13,13983
63488,1,231,,363008,12,13998
63744,1,223,,363264,12,13994
64000,1,230,,363520,12,14043
64256,1,228,,363776,12,14051
64512,1,230,,364032,13,14057
64768,2,232,,364288,13,14047
65024,1,233,,364544,13,14060
65280,1,237,,364800,12,14068
65536,2,240,,365056,15,14041
65792,1,236,,365312,13,14044
66048,2,242,,365568,13,14069
66304,1,247,,365824,13,14099
66560,2,250,,366080,12,14093
66816,2,245,,366336,13,14099
67072,1,263,,366592,12,14104
67328,1,256,,366848,12,14178
67584,1,252,,367104,12,14199
67840,1,255,,367360,12,14128
68096,1,254,,367616,12,14138
68352,2,255,,367872,12,14239
68608,2,257,,368128,13,14245
68864,2,259,,368384,12,14258
69120,2,262,,368640,13,14265
69376,1,263,,368896,12,14281
69632,1,270,,369152,13,14291
69888,1,274,,369408,13,14309
70144,1,279,,369664,13,14323
